-34,-17,1,2,1,1,1,1,1,-2,1,2,0,

-31,-17,-1,2,0,1,0,0,0,-1,-1,1,1,

-32,-19,-1,-1,0,1,-1,-1,0,0,1,3,2,

-31,-21,-1,1,-2,2,-1,1,4,1,-1,2,1,

-29,-21,0,0,-3,1,0,0,2,1,1,2,-1,

-29,-21,0,1,-1,3,0,1,1,0,1,0,0,

-28,-21,-1,0,-3,1,-2,0,2,0,1,2,1,

-26,-21,0,2,-2,2,-2,0,2,1,0,1,-1,

-29,-22,-2,-1,-3,3,-1,0,3,0,1,3,2,

-29,-22,-3,1,-1,3,1,1,2,-1,1,1,1,

-30,-16,0,2,-1,-1,1,1,1,0,0,1,1,

-27,-8,3,1,1,-1,-1,-1,1,1,-1,-1,1,

-17,-3,0,-1,-1,-2,-2,-2,1,1,-1,-2,-1,

-19,-3,1,-2,-1,0,-2,-2,1,2,1,-3,-2,

-20,-3,2,-3,-3,0,0,-2,0,2,0,-2,-2,

-21,-3,2,-3,-2,0,1,-1,-1,1,0,-1,-1,

-22,-5,3,-3,-3,-1,2,1,-1,0,0,0,-1,

-20,-3,0,-3,-5,-1,2,-1,-2,0,1,-1,-2,

-21,-6,0,-5,-4,-2,1,-1,-1,0,0,-1,-2,

-35,-16,-2,-2,0,0,1,1,1,0,0,1,0,

-29,-12,0,-2,-2,-1,0,-1,1,2,1,0,-1,

-28,-9,2,0,0,1,0,0,0,0,1,0,0,

-28,-8,2,0,0,-1,0,0,1,1,0,-1,0,

-20,-5,0,-2,-1,-2,-1,-2,1,1,0,-2,-1,

-21,-3,1,-1,0,-3,-2,-1,1,1,-1,-2,-1,

-21,-5,3,1,0,-2,-3,-1,2,1,-1,-2,-1,

-22,-5,3,1,-1,-2,-2,-1,1,2,-1,-2,-1,

-23,-5,2,1,0,-3,-2,-1,1,1,-1,-1,-1,

-23,-5,3,2,0,-4,-2,-2,1,1,0,0,-1,

-24,-5,4,3,-1,-3,-4,0,2,0,0,0,-1,

-26,-7,4,3,0,-3,-2,-1,2,1,0,-2,0,

-27,-8,4,2,1,-1,-1,0,1,-1,0,0,-1,

-29,-10,2,1,1,0,0,1,2,0,0,0,0,

-31,-11,2,0,0,0,1,0,1,0,0,-1,2,

-29,-10,3,0,0,-1,0,0,0,0,0,0,0,

-30,-11,2,0,1,-1,0,-1,-2,-2,-2,-1,1,

-32,-13,1,1,2,0,0,-2,-1,-1,0,-1,0,

-32,-12,2,1,2,1,0,-1,0,0,-1,0,0,

-34,-14,0,2,2,0,1,0,1,0,0,0,0,

-34,-14,0,0,1,0,1,1,1,1,2,1,0,

-35,-14,1,0,1,1,0,0,0,-1,1,0,-1,

